CODIGO OEM	SLUG	APLICACIONES	EQUIVALENCIA 1	EQUIVALENCIA 2
MR515064	MR515064	FILTRO ACEITE CAJA MITSUBISHI LANCER 1.6L CS3A GLX CVT 02-15 		
MD729954	MD729954	FILTRO ACEITE CAJA MITSUBISHI LANCER CB T/A 		
MD758691	MD758691	FILTRO ACEITE CAJA MITSUBISHI TOURING 2.0L - GALANT 2.5L - SPACE WAGON 2.4L		
96879797	96879797	FILTRO ACEITE CHEVROLET ASTRA 1.8L 2.0L - AVEO 1.6L TODOS - CAMARO 3.4L 3.8L - CAPRICE - CHEVETTE - CHEVY C2 - CORSA TODOS - LUV 2.3L - MALIBU - MERVIA - MONTANA - MONTE CARLO - MONZA - OPTRA 04-12 - SUNFIRE / DAEWOO CIELO - NUBIRA - ESPERO - LANOS - LEGNAZA- RACER - SUPER SALOON - TACUMA / FIAT IDEA 1.8L 06-08 - PALIO 1.8L - SIENA 1.8L - STRADA 1.8L - STYLO 1.8L / PONTIAC GRAND AM 2.3L 3.3L -TRANS SPORT APV / ISUZU AMIGO 2.2L	ML-3387	
25014377	25014377	FILTRO ACEITE CHEVROLET AVALANCHE 5.3L - CHEYENNE 4.8L 5.3L 5.7L - CAPTIVA 3.2L - COLORADO 3.7L - GRAND BLAZER Z71 - SILVERADO 5.3L 327 99-02 5.7L 350 93-99 - TRAILBLAZER 4.2L 02-07  / HUMMER H3 / JEEP CJ5 - CJ7 - WAGONEER - WRANGLER	ML-3675	
96389188	96389188	FILTRO ACEITE CHEVROLET EPICA / VENIRAUTO CENTAURO / FIAT COUPE - MAREA / CITROEN BERLINGO - C5 / PEUGEOT 407 607 	ML-5566	PH9897
12605566	12605566	FILTRO ACEITE ELEMENTO CHEVROLET ASTRA 2.2L COUPE ELEGANCE / ORLANDO 2.4L	ML-9018	WL7295
93185674	93185674	FILTRO ACEITE ELEMENTO CHEVROLET CRUZE 10-15	ML-19626	
26320-3C100	26320-3C100	FILTRO ACEITE ELEMENTO HYUNDAI AZERA 3.3L - SONATA 3.3L - VERACRUZ 3.8L / KIA OPTIMA 2.6L - SEDONA 3.8L - SORENTO 3.8L 	ML-9999	57061
L321-14302	L321-14302	FILTRO ACEITE ELEMENTO MAZDA 3 2.0L - MAZDA 5 2.3L - MAZDA 6 2.3L 	ML-321	57203
04152-YZZA3	04152-YZZA3	FILTRO ACEITE ELEMENTO TOYOTA 4RUNNER 09-21 - YARIS BELTA - TUNDRA 4.0L  / LEXUS IS 350 - 	ML-19547	
04152-YZZA8	04152-YZZA8	FILTRO ACEITE ELEMENTO TOYOTA CAMRY 3.5L 2GRFE - RAV4 2.5L 3.5L 2ARFE 2GRFE - TACOMA 3.5L 2GR-FKS	ML-44155	57047
04152-YZZA6	04152-YZZA6	FILTRO ACEITE ELEMENTO TOYOTA COROLLA 1.8L 2ZRFE 09-17	ML-96796	CH10358
04152-YZZA4	04152-YZZA4	FILTRO ACEITE ELEMENTO TOYOTA LANDCRUISER 200 4.5L 1VDFTV 4.6L 1URFE 5.7L 3URFE - RORAIMA 5.7L 3URFE - SEQUOIA 5.7L 3URFE - TUNDRA 4.6L 5.7L 1URFE 3URFE / LEXUS LX 450 460 570	ML-12027	57041
05281090AB	05281090AB	FILTRO ACEITE FIAT UNO 1.0 1.3 1.5 1.6 91-97 - SIERRA - STRADA - FIORINO  / JEEP GRAND CHEROKEE 4.7 2000 AL 2007 - COMMANDER - GRAND CHEROKEE 4.0 93-04 - WRANGLER 4.0 - CJ5 - CJ7 - CHEROKEE 87-01 / DODGE RAM 2500 3500 - CARAVAN - CORONET - DAKOTA - DURANGO - / LADA NIVA SAMARA / LAND ROVER DEFENDER 93-94 - DISCOVERY 96-04 - RANGE ROVER 89-2003 / AUDI A4 - A6 / CHRYSLER 300C - IMPERIAL - LE BARON - TOWN - SEBRING  / FREIGTHLINER CASCADIA - CENTURY - COLUMBIA - CORONADO - FL70 / RENAULT 12 - 16 - 18 - 30 - 5 -FUEGO / MAZDA 626 2.2 - B2200 F2E 8 VALV / VOLKSWAGEN PASSAT	ML-16	51068
59030262	59030262	FILTRO ACEITE FIAT UNO 1.3L - FIORINO - SIENA 1.3L 1.4L 1.6L - PALIO 1.6L - PUNTO 1.8L - TEMPRA 1.6L - STRADA / DODGE FORZA	ML-4558	51841
46544820	46544820	FILTRO ACEITE FIAT UNO 97-08 SIENA 1.3 97-05 - PALIO 1.3 97-07 - PUNTO 1.4 07-08 - FIORINO	ML-5949	PH5949
F1AZ6731A	F1AZ6731A	FILTRO ACEITE FORD EXPEDITION - EXPLORER 4.0 4.6 97-05 - ESCAPE 3.0 - F-150 - FX4 - MUSTANG - F350 - F250 - CROWN (ROSCA M22 X 1.5) - RANGER 2.3 4.0 / JEEP GRAND CHEROKEE 4.7 5.7 	ML-2	51372
FL-500-S	FL-500-S	FILTRO ACEITE FORD EXPLORER 3.5 2011-2018 - FUSION 3.0 2007-2009 - RAPTOR / JEEP COMPASS 2.4 2007-2009  PATRIOT / SILVERADO C3500 6.0 2008-2011 - CAPTIVA 3.2 3.6 - AVALANCHE - IMPALA - SILVERADO - TAHOE - TRAILBLAZER / DODGE CALIBER - JOURNEY	ML-10060	57060
FL-820S	FL-820S	FILTRO ACEITE FORD EXPLORER 4.6 06-10 / GRAND CHEROKEE 5.7 2011-/ SUPER DUTY	ML-2C	
1540067900	1540067900	FILTRO ACEITE FORD FESTIVA 4L 1.3LTS CARBURADO / HONDA CIVIC 92-06 - ACCORD 92-02 2.2 2.3 - CR-V - INTEGRA 96-99 - LEGEND 97-03 - ODYSSEY 97-02 / CHEVROLET LUV - LUV DMAX / DODGE BRISA - STEALTH - STRATUS / HYUNDAI ACCENT 2006-UP - COUPE TIBURON - ELANTRA - EXCEL - GALLOPER - GETZ - SANTA FE - SONATA TODOS - TUCSON H-1 TODOS - VERNA / ISUZU AMIGO - RODEO - TROOPER / KIA CERATO - SORENTO TODAS / MAZDA 323 CARBURADO / MITSUBISHI 3000GT - DIAMANTE 3.0 - GALANT 2.5 - MONTERO 3.0 3.5 92-95 - DAKAR 3.0 - MONTERO LIMITED 3.5 01-05 / SUBARU IMPREZA 1.6 2.0 - LEGACY 2.2 2.5 - OUTBACK - SVX - TRIBECA	ML-3807	51334
15208-65F00	15208-65F00	FILTRO ACEITE FORD FESTIVA FI - LASER 1.6 1.8 / HAIMA 7 / HYUNDAI ATOZ / KIA PICANTO - SEPHIA - SHUMA / MAZDA 3 1.6 - 323 - 626 - ALLEGRO - MIATA - 350Z - DEMIO / NISSAN PATROL - QUEST - SENTRA B14 - B15 - B16 1.8 2.0 - TIIDA C11 - XTRAIL / SUBARU FORESTER - IMPREZA 2.0 2.5 - LEGACY 1.9 / TOYOTA GT86 GR86 2.0 2.4 FA20 FA24 / VENIRAUTO TURPIAL / YAMAHA MARINE / ZOTYE NOMAD 1.3 1.6	ML-6607	51365
AA6E-6714-AB	AA6E-6714-AB	FILTRO ACEITE FORD FIESTA 1.3L - FOCUS 2.0L DURATEC- ECOSPORT 2.0L / CHEVROLET ESTEEM - GRNAD VITARA 1.6L G16B J20A 2.0L J20A 2.5 H25A 2.7L H27A - SUPER CARRY - SWIFT 1.3L 1.6L - VITARA 1.6L CARB FI -WAGON R / CHERY ARAUCA A1 - X1 / CHRYSLER NEON - PT CRUISER / DAEWOO LABO / DONGFENG PICK UP DC 4X4 / FIAT TEMPRA / FREIGHTLINER / INTERNATIONAL / LEXUS ES 300  - IS 250 300 - LS 400 430 - SC 300 400 / MAZDA 3 2.0L / TOYOTA 4RUNNER 3.0L 3VZ 3.4 5VZ - AVALON - CAMRY 3.0L - COROLLA 4A - FJ CRUISER - HIACE - HILUX 2.4L 22R 2.7L 2TR - HILUX DIESEL 2020 - MERU - PRADO - PREVIA - SEQUOIA - SIENNA - SUPRA - TUNDRA	ML-3614	
E4FZ-6731-AB	E4FZ-6731-AB	FILTRO ACEITE FORD FIESTA 1.6L TODOS  - RANGER - FOCUS - ECOSPORT 1.6L - KA - F150 4.2L - ESCAPE 2.0L - TAURUS - TRACER - WINDSTAR / CHERY GRAND TIGER 4X2 / CHANGAN KAICENE F70 2.5L / DODGE DAKOTA / FIAT PREMIO - REGATA  / JEEP LIBERTY 3.7L KJ / MAZDA B2300 B2500	ML-3600	51516
05184231AA	05184231AA	FILTRO ACEITE JEEP CHEROKEE LIBERTY KK 08-14	ML-61759	
MD069782	MD069782	FILTRO ACEITE KIA PREGIO 2.7L 3.0L / HYUNDAI H-100 - HD65 72 78 / MITSUBISHI CANTER 434 649 659 - FH 217 - FK 617 	ML-6355	51067
26300-2Y500	26300-2Y500	FILTRO ACEITE KIA SPORTAGE - CARENS - CARNIVAL - CERATO - OPTIMA - RIO 1.3L 1.5L 1.6L - SEDONA - SEPHIA - ESPECTRA / HYUNDAI H-1 DIESEL - MATRIX / MAZDA 323 -MIATA - MPV - MX3 - MX6 - BT50 B2600 / MITSUBISHI DIAMANTE 3.5L - ECLIPSE 2.0L 2.4L - GALANT 2.4L - L200 - LANCER TODOS - SIGNO 1.3L - MIRAGE - MONTERO LIMITED 3.8L 24V - MONTERO SPORT 3.0L 6B31 6G72 - OUTLANDER 2.4L - SPACE WAGON / NISSAN ALTIMA - MAXIMA - MURANO - PATHFINDER 96-04 - QUEST - XTERRA - XTRAIL 00-10 / HONDA CIVIC 06-11 - ACCORD 04-12 2.4 3.0 3.5 - CR-V 02-07 - FIT 04-09 - LEGEND - PILOT / CHERY GRAND TIGER 4X4 - TIGGO 2.4L 	ML-3593	51356
15208-55Y00	15208-55Y00	FILTRO ACEITE NISSAN SENTRA B13 B14 / CHEVROLET LUV DMAX DIESEL 3.0L / INFINITI J30 - Q45 / NISSAN 240SX - 300ZX - ALTIMA 2.4L - ARMADA - MAXIMA - TITAN - D21 - QUEST	ML-3682	
15208-7293R	15208-7293R	FILTRO ACEITE RENAULT CLIO 1.4L 1.6L - GALA - KANGOO 1.4L 1.6L - LAGUNA - LOGAN 1.6L - MEGANE 1.4L 1.6L - MEGANE II 2.0L - R11 - R19 - R5 - SANDERO 1.6L - SCENIC 2.0L - SYMBOL 1.4L 1.6L  - TWINGO 1.2L / DACIA BERLINA - BREAK - NOVA  	ML-5796	51626
90915-20003	90915-20003	FILTRO ACEITE TOYOTA 4RUNNER 4.0 1GRFE - FORTUNER 1GRFE - KAVAK - MACHITO 4500 1FZFE - HILUX 2.4L 2RZFE - AUTANA BURBUJA 4500 1FZFE 	ML-20004	51348
90915-10001    	90915-10001	FILTRO ACEITE TOYOTA COROLLA 1.6L 4AF 4AFE 3ZZFE 1.8L 2ZRFE 2ZRFAE 2ZRFXE 7AFE - CAMRY 2.2L 5SFE 2.4L 02-06 - CELICA 1.6L 1.8L 2.0L 2.2L 91-06 - ALTIS 1.6L 1ZRFE - COROLLA CROSS 1.8L 2ZRFE - MR2 2.2L - PASEO - RAV4 2.0L 1AZFE 3SFE 2.4L 2AZFE - STARLET 1.3L - TERCEL - TERIOS 1.3L K3VE - YARIS 1.3L 00-05 1.6L 2NZFE 06-10 - YARIS BELTA 1.5L 1NZFE - 4RUNNER 2.4L T24 - ALLION 2.0L M20 - CAMRY 2.0L M20 M20A-FKS 2.5L A25 A25-FKS - COROLLA 2.0L M20A-FKS M20A-FXS - COROLLA CROSS 2.0L M20A-FKS - CROWN - COROLLA YARIS GR 1.6L G16E-GTS 20-22  - HIGHLANDER 2.0L S20A-FTS 2.5L A25A/D-FXS 2019-2022 -  LAND CRUISER PRADO 250 2.4L T24 - RAV4 2.0L 2.5L 2018-UP - SIENNA 2.5L A25A - TACOMA 2.4L T24 - YARIS 1.5L M15A - YARIS CROSS M15A - AURIS 8NRFTS  / DAEWOO DAMAS - MATIZ - TICO - SUZUKI ACROSS 2.5L 2020 / CHEVROLET JIMNY 00-04 /  CHERY QQ / CHANA PICKUP / CHEVROLET SPARK - DAMAS - MATIZ / TERIOS BEGO / HAFEI LOBO - XINYI - ZHONGYI	ML-4967	51394
15600-41010	15600-41010	FILTRO ACEITE TOYOTA MACHITO BURBUJA AUTANA SAMURAI 2F 3F FJ40 45 55 60 62 70 75 2F 3F - 4500 VX 1FZFE 92-99 - DYNA 14B  / NISSAN TERRANO 	ML-8	51515
261155613	261155613	FILTRO ACEITE VOLKSWAGEN BORA 1.8L 2.0L - GOL 1.8L - GOLF 1.8L 2.0L - ESCARABAJO 1.6L - PARATI - SAVEIRO - POLO 2.0L - PASSAT 1.8L / SKODA OCTAVIA / SEAT CORDOBA 1.6L 2.0L - IBIZA 1.6L 1.8L TURBO 2.0L - LEON 1.8L TURBO - TOLEDO / BMW 318 - 320 - 325 - 525 / AUDI TT / GREATWALL SAFE	ML-5552	
030115561AB	030115561AB	FILTRO ACEITE VOLKSWAGEN CROSSFOX 1.6L - FOX 1.6L - POLO SEDAN 1.6L - SPACEFOX 1.6L / SKODA FABIA / SEAT CORDOBA - IBIZA 	ML-5548	
7T4Z-9601-A	7T4Z-9601-A	FILTRO AIRE  MOTOR FORD EXPLORER 3.5L 11-18 / MAZDA CX-9	MK-52045	46935
T21-8107011	T21-8107011	FILTRO AIRE CABINA CHERY GRAND TIGGO		
05058693AA	05058693AA	FILTRO AIRE CABINA CHERY ORINOCO 1.8 L 11-18 / DODGE CALIBER - JOURNEY / JEEP PATRIOT - COMPASS / MAZDA 6	MC-41238	CF10729
T11-8107910	T11-8107910	FILTRO AIRE CABINA CHERY TIGGO		
96449577	96449577	FILTRO AIRE CABINA CHEVROLET AVEO 04-10	MC-34174	
96440878	96440878	FILTRO AIRE CABINA CHEVROLET CAPTIVA / CHERY TIGGO	MC-53035	
96554421	96554421	FILTRO AIRE CABINA CHEVROLET OPTRA 1.8	MC-28261	
52420930	52420930	FILTRO AIRE CABINA CHEVROLET ORLANDO 2.4 - CRUZE 1.8	MC-52680C	
96425700	96425700	FILTRO AIRE CABINA CHEVROLET SPARK	MC-73356	
F65Z-19N619-AB	F65Z-19N619-AB	FILTRO AIRE CABINA F150 FX4 05-09		24876
7082928	7082928	FILTRO AIRE CABINA FIAT PALIO - SIENA / DODGE FORZA 99-13		WP9280
1121106	1121106	FILTRO AIRE CABINA FOCUS 2.0L 	MC-67836C	
AE9Z19N619A	AE9Z19N619A	FILTRO AIRE CABINA FORD EXPLORER 3.5 11-18		FP-68
BE8Z19N619A	BE8Z19N619A	FILTRO AIRE CABINA FORD FIESTA 2014 2018 / ECOSPORT 2.0		WP9360
1004 051	1004-051	FILTRO AIRE CABINA FORD KA	MC-12021	
80292-SDA-407	80292-SDA-407	FILTRO AIRE CABINA HONDA ACCORD 03-08 - CR-V 05 - PILOT - ODYSSEY	MC-53058	WP9224
08R79-S5A-600	08R79-S5A-600	FILTRO AIRE CABINA HONDA CIVIC 7MA GEN 1.7 00-06 - CR-V 02-07	MC-35422	
80292-SME-201	80292-SME-201	FILTRO AIRE CABINA HONDA CIVIC 8VA GEN EMOTION 06-11	MC-67664	
80291-SEL-Y01	80291-SEL-Y01	FILTRO AIRE CABINA HONDA FIT 06-08		24212
97133-3SAA0	97133-3SAA0	FILTRO AIRE CABINA HYUNDAI AZERA 3.0L - SANTA FE 3.3L 2012-2018 / KIA CARNIVAL 3.3L 2014-2021	MC-31824	24013
6Q0 819 653	6Q0-819-653	FILTRO AIRE CABINA HYUNDAI AZERA 3.3L - SANTA FE 2.7L 06-09 - SONATA 3.3L / KIA OPTIMA 2.6L / VOLKSWAGEN CROSSFOX 1.6L - FOX 1.6L - SPACEFOX 1.6L / SKODA FABIA - ROOMSTER	MC-9323C	
97133-L1000	97133-L1000	FILTRO AIRE CABINA HYUNDAI ELANTRA 1.6L 2.0L 2020-UP - SANTA FE 2.2L 2.5L - SONATA 2.0L 2.5L - TUCSON 2.0L 2.5L / KIA SORENTO 2.2L 2.5L 3.5L 2019-UP - SPORTAGE 2.0L 2.5L 2021-UP 	MC-84421	CAF10079P
97133-2D100	97133-2D100	FILTRO AIRE CABINA HYUNDAI ELANTRA 1.8L 2.0L - TIBURON 2.7L - MATRIX 1.8L	MC-71098	
97617-1C002	97617-1C002	FILTRO AIRE CABINA HYUNDAI GETZ 1.3L 1.6L / DODGE BRISA 1.3L	MC-24120	24879
97406-4A900	97406-4A900	FILTRO AIRE CABINA HYUNDAI H-1 2006-2007		
97617-4H000	97617-4H000	FILTRO AIRE CABINA HYUNDAI H-1 2009-UP		WP2044
97133-2E210	97133-2E210	FILTRO AIRE CABINA HYUNDAI TUCSON 2.0L - RIO 1.6L / KIA SPORTAGE 2.0L 2.7L 	MC-2200	24684
95861-64J00	95861-64J00	FILTRO AIRE CABINA ISUZU GRAN VITARA 6V 2.7	MC-83198	
68033193AA	68033193AA	FILTRO AIRE CABINA JEEP CHEROKEE LIBERTY KK 08-11	MC-67740	49093
82208300	82208300	FILTRO AIRE CABINA JEEP GRAND CHEROKEE WK 2005-2010 - COMMANDER		24903
68079487AA	68079487AA	FILTRO AIRE CABINA JEEP GRAND CHEROKEE WK2  2011-2020	MC-79487	24017
97133-07000	97133-07000	FILTRO AIRE CABINA KIA PICANTO 	MC-94242	
BP5E-61-J6X	BP5E-61-J6X	FILTRO AIRE CABINA MAZDA 3 1.6 2.0L - MAZDA 5 2.3L	MC-60585	WA6221
1718 237	1718-237	FILTRO AIRE CABINA MAZDA BT50 / FORD RANGER	MC-85121	
MZ690194	MZ690194	FILTRO AIRE CABINA MITSUBISHI DAKAR - MONTERO SPORT - L200 		
MR398288	MR398288	FILTRO AIRE CABINA MITSUBISHI LANCER CS3 CS6 		
27277-4JA0A	27277-4JA0A	FILTRO AIRE CABINA NISSAN PATHFINDER R51 3.3L - NP300 - NAVARA 4WD 2.5L - TERRA 4WD 2.3L		
27891-EL00A	27891-EL00A	FILTRO AIRE CABINA NISSAN TIIDA C11	MC-90129	
